№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;;;1;;Гасан-Кули;;;;;;;;;;Туркмения;;;;;;;;;;37,1;;54;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
XI;0;0;0;0;0;0;0;0,055555556;0,169444444;0,269444444;0,361111111;0,419444444;0,419444444;0,361111111;0,269444444;0,169444444;0,055555556;0;0;0;0;0;0;0;2,55;;XI;0;0;0;0;0;0;0;0,027777778;0,088888889;0,163888889;0,227777778;0,269444444;0,269444444;0,227777778;0,163888889;0,088888889;0,027777778;0;0;0;0;0;0;0;1,555555556
XII;0;0;0;0;0;0;0;0,022222222;0,091666667;0,191666667;0,263888889;0,305555556;0,305555556;0,263888889;0,191666667;0,091666667;0,022222222;0;0;0;0;0;0;0;1,75;;XII;0;0;0;0;0;0;0;0,008333333;0,036111111;0,097222222;0,141666667;0,169444444;0,169444444;0,141666667;0,097222222;0,036111111;0,008333333;0;0;0;0;0;0;0;0,905555556
S;0;0;0;0;0,013888889;0,291666667;1,077777778;2,466666667;4,158333333;5,786111111;6,980555556;7,55;7,55;6,955555556;5,755555556;4,052777778;2,25;0,869444444;0,211111111;0,008333333;0;0;0;0;55,97777778;;S;0;0;0;0;0,008333333;0,119444444;0,544444444;1,419444444;2,597222222;3,8;4,722222222;5,127777778;5,127777778;4,697222222;3,769444444;2,491666667;1,216666667;0,35;0,052777778;0,002777778;0;0;0;0;36,04722222
№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;;;№;;Станция;;;;;;;;;;Регион;;;;;;;;;;j;;y;
4;;им.академика Н.П.Горбунова;;;;;;;;;;Горно-Бадахшанская автономная область;;;;;;;;;;38,4;;72,2;;;4;;им.академика Н.П.Горбунова;;;;;;;;;;Горно-Бадахшанская автономная область;;;;;;;;;;38,4;;72,2;
Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S;;Мес.;Часовой интервал (истинное солнечное время);;;;;;;;;;;;;;;;;;;;;;;;S
;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;;;;0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15;15-16;16-17;17-18;18-19;19-20;20-21;21-22;22-23;23-24;
I;0;0;0;0;0;0;0;0,036111111;0,141666667;0,283333333;0,383333333;0,438888889;0,438888889;0,391666667;0,283333333;0,141666667;0,036111111;0;0;0;0;0;0;0;2,575;;I;0;0;0;0;0;0;0;0,011111111;0,055555556;0,113888889;0,163888889;0,183333333;0,183333333;0,155555556;0,119444444;0,063888889;0,011111111;0;0;0;0;0;0;0;1,061111111
II;0;0;0;0;0;0;0,005555556;0,072222222;0,213888889;0,375;0,488888889;0,547222222;0,547222222;0,488888889;0,383333333;0,205555556;0,072222222;0,005555556;0;0;0;0;0;0;3,405555556;;II;0;0;0;0;0;0;0,002777778;0,027777778;0,072222222;0,136111111;0,183333333;0,2;0,2;0,177777778;0,127777778;0,077777778;0,022222222;0,002777778;0;0;0;0;0;0;1,230555556
III;0;0;0;0;0;0;0,033333333;0,141666667;0,333333333;0,538888889;0,647222222;0,694444444;0,694444444;0,647222222;0,533333333;0,319444444;0,141666667;0,047222222;0;0;0;0;0;0;4,772222222;;III;0;0;0;0;0;0;0,027777778;0,072222222;0,141666667;0,213888889;0,247222222;0,255555556;0,255555556;0,233333333;0,191666667;0,1;0,041666667;0,013888889;0;0;0;0;0;0;1,794444444
IV;0;0;0;0;0;0,022222222;0,119444444;0,291666667;0,483333333;0,694444444;0,808333333;0,844444444;0,844444444;0,788888889;0,647222222;0,447222222;0,269444444;0,119444444;0,022222222;0;0;0;0;0;6,402777778;;IV;0;0;0;0;0;0,005555556;0,022222222;0,077777778;0,177777778;0,283333333;0,341666667;0,355555556;0,355555556;0,319444444;0,247222222;0,163888889;0,091666667;0,036111111;0,005555556;0;0;0;0;0;2,483333333
V;0;0;0;0;0;0,063888889;0,227777778;0,405555556;0,611111111;0,808333333;0,922222222;0,958333333;0,958333333;0,922222222;0,802777778;0,547222222;0,355555556;0,155555556;0,027777778;0;0;0;0;0;7,766666667;;V;0;0;0;0;0;0,027777778;0,1;0,205555556;0,319444444;0,425;0,483333333;0,511111111;0,511111111;0,483333333;0,405555556;0,263888889;0,15;0,072222222;0,022222222;0;0;0;0;0;3,980555556
VI;0;0;0;0;0,008333333;0,105555556;0,269444444;0,475;0,675;0,872222222;0,966666667;1,008333333;1,008333333;0,966666667;0,866666667;0,617222222;0,333333333;0,155555556;0,036111111;0,005555556;0;0;0;0;8,37;;VI;0;0;0;0;0,002777778;0,05;0,15;0,297222222;0,461111111;0,602777778;0,675;0,702777778;0,702777778;0,675;0,588888889;0,405555556;0,255555556;0,127777778;0,027777778;0,002777778;0;0;0;0;5,727777778
VII;0;0;0;0;0,005555556;0,091666667;0,255555556;0,419444444;0,630555556;0,844444444;0,936111111;0,980555556;0,980555556;0,936111111;0,830555556;0,602777778;0,388888889;0,191666667;0,027777778;0,002777778;0;0;0;0;8,125;;VII;0;0;0;0;0,002777778;0,041666667;0,141666667;0,283333333;0,475;0,625;0,711111111;0,738888889;0,738888889;0,702777778;0,602777778;0,447222222;0,283333333;0,136111111;0,022222222;0;0;0;0;0;5,952777778
VIII;0;0;0;0;0;0,030555556;0,183333333;0,375;0,580555556;0,788888889;0,894444444;0,95;0,95;0,894444444;0,780555556;0,547222222;0,319444444;0,141666667;0,025;0;0;0;0;0;7,461111111;;VIII;0;0;0;0;0;0,011111111;0,119444444;0,283333333;0,461111111;0,630555556;0,725;0,775;0,775;0,725;0,625;0,425;0,213888889;0,086111111;0,019444444;0;0;0;0;0;5,875
IX;0;0;0;0;0;0;0,022222222;0,141666667;0,355555556;0,675;0,794444444;0,844444444;0,844444444;0,794444444;0,672222222;0,425;0,191666667;0,055555556;0,002777778;0;0;0;0;0;5,819444444;;IX;0;0;0;0;0;0;0,005555556;0,063888889;0,263888889;0,552777778;0,630555556;0,666666667;0,666666667;0,630555556;0,547222222;0,305555556;0,136111111;0,027777778;0;0;0;0;0;0;4,497222222
