название;широта;долгота;минимальная скорость м/с;максимальная скорость м/с
Шлиссельбург(Кировский район);59.9458500000001;31.03401;0;22
Оренбург;51.76746;55.0951600000001;0;24
Абдулино;53.68145;53.64867;0;24
Акбулак;50.9996600000001;55.6264400000001;0;26
Беляевка;51.3985700000001;56.4074200000001;0;26
Бугуруслан;53.65457;52.4360300000001;0;28
Бузулук;52.78635;52.2618900000001;0;22
Домбаровский;50.75917;59.5457700000001;0;24
Илек;51.5261300000001;53.38345;0;20
Красноярский(Кваркенский район);52.0847200000001;59.7242000000001;0;31
Кувандык;51.4712400000001;57.3677300000001;0;26
Новосергиевка;52.10382;53.6481800000001;0;20
Озёрный (Светлинский р-н);51.1125500000001;60.8982500000001;0;26
Орск;51.1495800000001;58.6365300000001;0;27
Первомайский;49.3971000000001;36.22261;0;21
Соль-Илецк;51.1623200000001;54.9813800000001;0;23
Сорочинск;52.4309000000001;53.16092;0;24
Троицкое(Асекеевский район);53.3621400000001;52.82944;0;24
Троицкое(Тюльганский район);52.32325;56.371;0;21
Шарлык;52.9265500000001;54.71543;0;21
Энергетик(Новоорский район);51.73758;58.7925200000001;0;24
Кемерово;55.38919;86.1069100000001;0;21
Белово;54.4194900000001;86.30773;0;27
Берёзовский;55.56237;86.2004400000001;0;24
Киселёвск;54.0116100000001;86.6759400000001;0;28
Кондома(Таштагольский район);52.8203;87.2736300000001;0;25
Крапивинский;55.00244;86.8059000000001;0;24
Красное(Ленинск-Кузнецкий р-н);54.6196;85.39419;0;25
Кузедеево (Новокузнецкий район);53.3267200000001;87.1425600000001;0;26
Мариинск;56.2171900000001;87.7723100000001;0;27
Междуреченск;53.7015000000001;88.0247100000001;0;24
Новокузнецк;53.7577200000001;87.11922;0;33
Промышленная;54.9140800000001;85.6377400000001;0;24
Тайга;56.0648;85.6313600000001;0;26
Таштагол;52.7706600000001;87.8914600000001;0;22
Тисуль;55.7656600000001;88.31237;0;29
Топки;55.2742200000001;85.6188000000001;0;26
Тяжинский;56.1105000000001;88.5161800000001;0;25
Усть-Кабырза (Таштагольский район);52.82275;88.4467900000001;0;20
Юрга;55.71651;84.94052;0;24
Яя;56.20635;86.3990800000001;0;25
Калуга;54.5139;36.26403;0;23
Жиздра;53.7563500000001;34.7385200000001;0;21
Малоярославец;55.0126300000001;36.4621000000001;0;19
Мосальск;54.48794;34.98382;0;21
Спас-Деменск;54.4099200000001;34.0204200000001;0;21
Сухиничи;54.1009000000001;35.3367700000001;0;24
Нарьян-Мар;67.6378000000001;53.0127400000001;0;22
Амдерма;69.7622900000001;61.6600100000001;0;38
Бугрино;57.0449400000001;40.14349;0;32
Индига;67.65867;49.0300500000001;0;29
Коткино;58.04607;38.39219;0;25
Несь;66.6023300000001;44.68393;0;30
Нижняя Пёша;66.75251;47.75363;0;24
Усть-Кара;69.2436000000001;64.9185000000001;0;31
Хорей-Вер;67.43012;58.0481800000001;0;27
Шойна;67.87818;44.15313;0;30
Пенза;53.2077100000001;45.0056200000001;0;21
Белинский;52.96851;43.4249100000001;0;23
Городище;48.8049600000001;44.4805700000001;0;28
Земетчино;53.49015;42.60988;0;22
Каменка;53.18082;44.00755;0;23
Кондоль;52.80906;45.0603400000001;0;24
Пачелма;53.3362300000001;43.29873;0;22
Радищево (Кузнецкий р-н);53.0462900000001;46.4268300000001;0;23
Красноярск;56.0146800000001;92.87089;0;24
Абан;56.6777500000001;96.0662800000001;0;24
Агинское;55.2606000000001;94.9145300000001;0;25
Артёмовск(Курагинский район);54.3463400000001;93.4400000000001;0;22
Ачинск;56.2391400000001;90.4659700000001;0;26
Байкит (Эвенкийский р-н);61.6795200000001;96.3805300000001;0;23
Балахта;55.38181;91.6266800000001;0;26
Боготол;56.2101900000001;89.5318700000001;0;28
Богучаны;58.38318;97.4475100000001;0;21
Большая Мурта;56.9100100000001;93.13608;0;23
Большой Улуй;56.6563;90.5689400000001;0;24
Бор (Туруханский район);61.5918500000001;90.0416500000001;0;22
Ванавара(Эвенкийский район);60.34887;102.279;0;27
Верхнеимбатск (Туруханский район);63.15236;87.97033;0;23
Волочанка(Таймырский район);69.4089000000001;88.29411;0;30
Ворогово (Туруханский р-н);61.02115;89.6172900000001;0;24
Дзержинское;56.8323600000001;95.2131900000001;0;20
Дивногорск;55.96401;92.3802000000001;0;21
Диксон (Таймырский р-н);69.4089000000001;88.29411;0;34
Дудинка;69.40963;86.19316;0;28
Енисейск;58.4532;92.1731300000001;0;23
Ермаковское;53.27714;92.37041;0;28
Жуковка (Козульский р-н);56.09916;91.7183200000001;0;27
Игарка;67.4607500000001;86.5538100000001;0;23
Идринское;54.3721200000001;92.1368000000001;0;22
Ирбейское;55.64329;95.45318;0;27
Казачинское;57.7021700000001;93.26766;0;20
Канск;56.2031000000001;95.7185900000001;0;30
Каратузское;53.60258;92.8740900000001;0;22
Караул (Таймырский р-н);69.4089000000001;88.29411;0;41
Кача (Емельяновский р-н);56.1017800000001;92.21585;0;27
Кузьмовка(Эвенкийский район);62.3142800000001;92.11269;0;20
Курагино;53.8840000000001;92.6786700000001;0;25
Лебяжье (Краснотуранский район);54.1928500000001;91.5749200000001;0;25
Минусинск;53.6775400000001;91.7089500000001;0;24
Мотыгино;58.18249;94.6861600000001;0;19
Назарово;56.01131;90.4167600000001;0;24
Норильск;69.3457500000001;88.21482;0;31
Пировское;57.62174;92.2737700000001;0;24
Потапово (Таймырский р-н);69.4089000000001;88.29411;0;30
Светлогорск(Туруханский район);66.9399100000001;88.36411;0;24
Светлолобово (Новосёловский район);55.09407;90.8507700000001;0;30
Северо-Енисейский;60.3857800000001;93.0483500000001;0;28
Стрелка (Лесосибирск);58.07957;93.0312300000001;0;24
Стрелка-Чуня (Эвенкийский район);61.73713;102.80372;0;15
Сухобузимское;56.50109;93.2751000000001;0;25
Сым (Енисейский район);60.34853;88.3660800000001;0;25
Тасеево;57.21466;94.8943400000001;0;24
Тура;64.27243;100.20623;0;24
Туруханск;65.7971800000001;87.9557700000001;0;23
Тутончаны(Эвенкийский район);64.21011;93.7983100000001;0;29
Тюхтет;56.5390200000001;89.3120400000001;0;24
Ужур;55.32201;89.8510600000001;0;25
Уяр;55.81055;94.3298;0;28
Хатанга (Таймырский р-н);69.4089000000001;88.29411;0;25
Шалинское;55.71858;93.7624400000001;0;28
Шарыпово;55.5416500000001;89.1951500000001;0;26
Щетинкино(Курагинский район);54.5426600000001;93.43622;0;24
Ярцево (Енисейский р-н);60.2451600000001;90.2268800000001;0;23
Кострома;57.76705;40.9272500000001;0;22
Буй;58.4808;41.5152800000001;0;18
Вохма;58.9306500000001;46.7595700000001;0;21
Галич;58.3822400000001;42.34831;0;20
Кологрив;58.8252200000001;44.3111200000001;0;18
Макарьев;57.8912300000001;43.7992100000001;0;18
Николо-Полома (Парфеньевский район);58.33914;43.3779900000001;0;26
Пыщуг;58.8864;45.71718;0;23
Чухлома;58.7524700000001;42.70804;0;21
Шарья;58.3694600000001;45.5175600000001;0;24
Великий Новгород;58.5233900000001;31.27009;0;26
Боровичи;58.38892;33.8991500000001;0;21
Демянск;57.6425100000001;32.46367;0;21
Крестцы;58.2489100000001;32.5215900000001;0;21
Малая Вишера;58.8455300000001;32.2213600000001;0;18
Охона (Пестовский район);58.5690200000001;35.6219300000001;0;24
Старая Русса;57.9989200000001;31.3550300000001;0;23
Холм;58.90144;33.39295;0;19
Пермь;58.0076100000001;56.2279800000001;0;24
Березники;59.4079300000001;56.8042;0;22
Бисер (Горнозаводский р-н);58.5129200000001;58.87298;0;22
Верещагино;58.07892;54.6528900000001;0;24
Гайны;60.29992;54.34272;0;21
Губаха;58.8528000000001;57.5507700000001;0;18
Добрянка;58.4752500000001;56.4102;0;19
Коса;59.9455300000001;54.99976;0;20
Кочёво;59.59858;54.3142500000001;0;24
Кудымкар;59.0145200000001;54.66321;0;24
Лысьва;58.1011100000001;57.8114100000001;0;24
Ножовка (Частинский р-н);57.1028700000001;54.7244200000001;0;28
Ныроб (Чердынский район);60.7429900000001;56.7326;0;25
Октябрьский;54.4837200000001;53.47851;0;21
Оса;57.28081;55.45543;0;28
Оханск;57.72222;55.3896300000001;0;24
Чайковский;56.7675400000001;54.1089400000001;0;22
Чердынь;60.40232;56.4829700000001;0;23
Чернушка;56.4954200000001;56.06838;0;23
Новосибирск (ГЭС);54.8551100000001;82.9869400000001;0;19
Новосибирск(Северо-Чемской);54.9572600000001;82.9625;0;20
Баган;54.1027100000001;77.69253;0;24
Барабинск;55.3553000000001;78.39187;0;24
Болотное;55.6659000000001;84.3827200000001;0;24
Венгерово;55.68048;76.7358100000001;0;30
Довольное;54.4960100000001;79.6648200000001;0;27
Здвинск;54.70847;78.6829500000001;0;26
Искитим;54.64068;83.30391;0;26
Карасук;53.7284300000001;78.0530600000001;0;28
Каргат;55.1943200000001;80.2688000000001;0;28
Квашнино(Барабинский район);55.01426;77.84752;0;24
Колывань;55.3055000000001;82.72058;0;28
Коченёво;55.04398;82.2312600000001;0;23
Кочки;54.3353000000001;80.4926;0;31
Краснозёрское;53.9786700000001;79.24172;0;29
Краснообск (Новосибирский район);54.9217200000001;82.99091;0;28
Купино;54.3702500000001;77.31901;0;29
Кыштовка;56.5590700000001;76.62269;0;26
Маслянино;54.34369;84.2031700000001;0;28
Мошково;55.30397;83.6098500000001;0;19
Ордынское;54.3638700000001;81.9109800000001;0;22
Посевная(Черепановский район);54.2958400000001;83.3335200000001;0;25
Северное;56.3503600000001;78.36562;0;26
Сузун;53.7880500000001;82.31318;0;24
Татарск;55.21842;76.03659;0;24
Тогучин;55.2380600000001;84.4027100000001;0;28
Убинское;55.3031;79.6682200000001;0;27
Ужаниха (Чулымский р-н);54.6836900000001;81.0519300000001;0;24
Усть-Тарка;55.56611;75.70426;0;26
Чаны;55.3203500000001;76.79675;0;28
Чистоозёрное;54.71581;76.5948100000001;0;30
